衡钱数量,厉钱数量,初始源石锭数量,失败概率,成功概率,中间态概率
5,6,576,4.291078369145374e-05,0.9999570892163026,7.2154955641140946e-37
5,6,608,2.4781622949679127e-05,0.9999752183770446,6.138857229459757e-37
5,6,640,1.3396110174217978e-05,0.9999866038898183,4.4837104437331284e-37
5,6,672,7.16558492080591e-06,0.9999928344150756,3.822787609218128e-37
5,6,704,3.7770276825923715e-06,0.9999962229723139,2.3280285808095957e-37
5,6,736,2.019590708097015e-06,0.999997980409288,1.7189585354071628e-37
5,6,768,1.1791320203947108e-06,0.9999988208679755,1.4112566028691082e-37
5,6,800,5.405266927932652e-07,0.9999994594733039,8.587911400067074e-38
5,6,832,3.121622947454677e-07,0.9999996878377012,6.270943760908051e-38
5,6,864,1.777653392465767e-07,0.9999998222346581,5.094073805176983e-38
5,6,896,9.026145855239178e-08,0.9999999097385374,3.7314482653147264e-38
5,6,928,4.7577417794310255e-08,0.9999999524225791,2.21618026008895e-38
5,6,960,2.5439821719826387e-08,0.9999999745601743,1.8384311391146544e-38
5,6,992,1.4852964143183593e-08,0.999999985147031,1.2947353538981976e-38
5,6,1024,7.94485669957566e-09,0.9999999920551407,7.652409659164832e-39
5,7,0,1.0,0.0,0.0
5,7,32,1.0,0.0,0.0
5,7,64,1.0,0.0,0.0
5,7,96,0.30820496499080197,0.691795035009195,3.4143155119410963e-93
5,7,128,0.1070407644015679,0.8929592355984302,3.062138384828452e-93
5,7,160,0.03857920355573964,0.9614207964442594,2.8965427058515378e-93
5,7,192,0.015077371481216215,0.9849226285187815,1.8966968967235046e-93
5,7,224,0.005208588352555296,0.9947914116474444,1.048507318368762e-93
5,7,256,0.0015855289360745606,0.9984144710639233,8.540441177297973e-94
5,7,288,0.0006318212603377887,0.9993681787396613,4.837903072862514e-94
5,7,320,0.00019653979129469505,0.999803460208704,4.0790977795077386e-94
5,7,352,6.825166550130144e-05,0.9999317483344965,1.8628765700931308e-94
5,7,384,2.6393097548350734e-05,0.9999736069024516,1.0742561470560741e-94
5,7,416,9.443602535847479e-06,0.9999905563974646,8.1104836281435e-95
5,7,448,3.2711054009086715e-06,0.9999967288945995,3.5885196993045714e-95
5,7,480,9.965334221553545e-07,0.9999990034665779,2.0325319911933605e-95
5,7,512,3.9675631899022895e-07,0.9999996032436804,1.561072504145517e-95
5,7,544,1.5717422302383915e-07,0.9999998428257769,8.23638990268486e-96
5,7,576,4.289269648634359e-08,0.9999999571073033,3.5751382625010866e-96
5,7,608,1.6586077195315096e-08,0.9999999834139224,2.7371961578261153e-96
5,7,640,5.934479629364596e-09,0.9999999940655201,1.4261492113866875e-96
5,7,672,2.0556412327375365e-09,0.9999999979443583,1.0975876058951457e-96
5,7,704,7.138957231436233e-10,0.9999999992861036,4.5823116706072765e-97
5,7,736,2.493305234145133e-10,0.999999999750669,2.466569218382994e-97
5,7,768,9.877202972514048e-11,0.9999999999012275,1.7891899921756937e-97
5,7,800,2.6954785254564088e-11,0.9999999999730458,7.450388658113989e-98
5,7,832,1.0423082035053774e-11,0.9999999999895774,3.993887458436451e-98
5,7,864,4.14979665399268e-12,0.9999999999958497,2.8469905399980792e-98
5,7,896,1.2918133971534076e-12,0.9999999999987079,1.5261905013072848e-98
5,7,928,4.4862889858294535e-13,0.9999999999995514,6.222287344653549e-99
5,7,960,1.5668517655291793e-13,0.9999999999998433,4.645358965405403e-99
5,7,992,6.207067130839478e-14,0.9999999999999376,2.3402557580139306e-99
5,7,1024,2.1500628399174836e-14,0.9999999999999784,9.55752536326195e-100
6,5,0,1.0,0.0,0.0
6,5,32,1.0,0.0,0.0
6,5,64,1.0,0.0,0.0
6,5,96,0.7300319813859297,0.26996801814924715,4.647886071131472e-10
6,5,128,0.5383126262006666,0.4616873730548152,7.444815844078725e-10
6,5,160,0.4105903406375673,0.5894096584003123,9.620914386032689e-10
6,5,192,0.3231116769103895,0.6768883220227874,1.0667969089227624e-09
6,5,224,0.24569192533720552,0.7543080736086135,1.0541606708612895e-09
6,5,256,0.1801861876560933,0.8198138111904665,1.1534252154493389e-09
6,5,288,0.1394890765108349,0.8605109223364716,1.152676635782753e-09
6,5,320,0.10398151772091034,0.8960184810729634,1.206112410453128e-09
6,5,352,0.07756636784608759,0.9224336310973701,1.0565280619550628e-09
6,5,384,0.06146055011397094,0.9385394488782486,1.007768264720105e-09
6,5,416,0.04674570562463133,0.9532542933782152,9.971386759243236e-10
6,5,448,0.03547039250107177,0.9645296066573628,8.415523101707313e-10
6,5,480,0.02599604721755561,0.9740039519784038,8.04029410640524e-10
6,5,512,0.020128275716385063,0.9798717235098803,7.737218932915118e-10
6,5,544,0.015945047713424153,0.9840549515761315,7.104364130000031e-10
6,5,576,0.0111911146213341,0.988808884782582,5.960734177344766e-10
6,5,608,0.008867366858405532,0.9911326325783056,5.632800648426071e-10
6,5,640,0.00674427846366487,0.9932557210198046,5.165213555809164e-10
6,5,672,0.0051175511264562774,0.9948824483823597,4.911746974686789e-10
6,5,704,0.003817325272133196,0.9961826743324002,3.954586107301799e-10
6,5,736,0.002904031680509513,0.9970959679596922,3.597905808656975e-10
6,5,768,0.0023004877787440306,0.9976995118870923,3.34156865225083e-10
6,5,800,0.0016145985278005698,0.9983854012021356,2.700546318036292e-10
6,5,832,0.0012793341318089635,0.9987206656266712,2.4151169967048056e-10
6,5,864,0.0009905589346140315,0.9990094408421403,2.2324080062060566e-10
6,5,896,0.0007383225944112843,0.9992616772040132,2.0156798721303307e-10
6,5,928,0.0005507253563889873,0.9994492744854384,1.58167945167126e-10
6,5,960,0.00041895914910376167,0.9995810407045467,1.4634249448850047e-10
6,5,992,0.0003318816160543658,0.9996681182550007,1.2893809743612625e-10
6,5,1024,0.0002518187765062771,0.9997481811233528,1.0013736528179314e-10
6,6,0,1.0,0.0,0.0
6,6,32,1.0,0.0,0.0
6,6,64,1.0,0.0,0.0
6,6,96,0.3357316330665837,0.6642683669334114,7.137885231607551e-91
6,6,128,0.11633126738393859,0.8836687326160568,7.080299076595163e-91
6,6,160,0.05062665792774255,0.9493733420722544,6.645769741067714e-91
6,6,192,0.02224202056282726,0.97775797943717,4.548424019478197e-91
6,6,224,0.008351718488124065,0.9916482815118715,2.716981618098935e-91
6,6,256,0.0030047309592173507,0.9969952690407802,2.2262866246846647e-91
6,6,288,0.0012974618368450765,0.9987025381631515,1.3717320313396528e-91
6,6,320,0.00046122557181655147,0.9995387744281805,1.1926854771662767e-91
6,6,352,0.000172759649214684,0.9998272403507826,5.680945131102544e-92
6,6,384,7.967910107751794e-05,0.9999203208989206,3.4283958344857254e-92
6,6,416,3.319733761530011e-05,0.9999668026623816,2.731923192493154e-92
6,6,448,1.2267270511288113e-05,0.9999877327294868,1.2701954450305212e-92
6,6,480,4.374257700483304e-06,0.9999956257422976,7.526438580181374e-93
6,6,512,1.8977573260210128e-06,0.9999981022426723,5.9451373974266365e-93
6,6,544,8.817787752344337e-07,0.9999991182212223,3.366389797110913e-93
6,6,576,2.519098528364758e-07,0.9999997480901442,1.543070737022324e-93
6,6,608,1.1622344616636494e-07,0.9999998837765512,1.206030517982511e-93
6,6,640,4.840292283469442e-08,0.9999999515970749,6.780386857695555e-94
6,6,672,1.7889395109945438e-08,0.9999999821106031,5.432040903396841e-94
6,6,704,6.693076566442946e-09,0.9999999933069211,2.3575268985201536e-94
6,6,736,2.7676389333138243e-09,0.9999999972323597,1.3263064434063163e-94
6,6,768,1.286034604489989e-09,0.9999999987139636,1.0243696135961701e-94
6,6,800,3.6739178288254967e-10,0.9999999996326072,4.455357417286518e-95
6,6,832,1.6950258948339478e-10,0.9999999998304954,2.5029784908702622e-95
6,6,864,7.353417978645543e-11,0.9999999999264647,1.9014282159732284e-95
6,6,896,2.6090320912178197e-11,0.9999999999739075,1.0703122036806902e-95
6,6,928,9.761331619282915e-12,0.9999999999902365,4.543124954867224e-96
6,6,960,4.036388429817723e-12,0.9999999999959621,3.4836964896418386e-96
6,6,992,1.8755813046062073e-12,0.9999999999981236,1.892894623378901e-96
6,6,1024,6.932008012224937e-13,0.9999999999993063,8.127122759295954e-97
7,5,0,1.0,0.0,0.0
7,5,32,1.0,0.0,0.0
7,5,64,1.0,0.0,0.0
7,5,96,0.6707604800069971,0.3292395199929735,7.45409513529485e-15
7,5,128,0.45618622520133967,0.5438137747986146,1.134725993174746e-14
7,5,160,0.32984978815178484,0.6701502118481806,1.4061207274863344e-14
7,5,192,0.24611676357214457,0.7538832364278225,1.495151185228887e-14
7,5,224,0.1751525347721413,0.8248474652278359,1.4059012371028234e-14
7,5,256,0.12003663657811162,0.879963363421862,1.492036609382469e-14
7,5,288,0.08762149022614014,0.9123785097738328,1.4365411691318234e-14
7,5,320,0.06106066962852312,0.9389393303714559,1.472919034304112e-14
7,5,352,0.042469551492841505,0.957530448507138,1.217241054287388e-14
7,5,384,0.03210307489443324,0.9678969251055495,1.1166533068500286e-14
7,5,416,0.023031835621859162,0.9769681643781251,1.0819229690191548e-14
7,5,448,0.01633473664095133,0.9836652633590315,8.631404663141124e-15
7,5,480,0.011178471120654402,0.9888215288793311,7.929245684719694e-15
7,5,512,0.008163827806561316,0.9918361721934257,7.471159438700635e-15
7,5,544,0.006160386221995757,0.9938396137779915,6.609788646999581e-15
7,5,576,0.003955514333236649,0.9960444856667532,5.240965950982725e-15
7,5,608,0.00299001893861492,0.9970099810613764,4.846130033120793e-15
7,5,640,0.002145069875707356,0.9978549301242816,4.2822463336565805e-15
7,5,672,0.0015213640911561099,0.9984786359088371,3.9999292964591225e-15
7,5,704,0.0010580203723741717,0.9989419796276165,3.035303105491516e-15
7,5,736,0.0007603559266026893,0.9992396440733884,2.6555035939678453e-15
7,5,768,0.0005737628671941195,0.9994262371327981,2.4221489574162466e-15
7,5,800,0.0003684058559963977,0.999631594143995,1.8471140675995446e-15
7,5,832,0.0002784820885914919,0.9997215179114015,1.5899052194569658e-15
7,5,864,0.00020337951620703603,0.9997966204837847,1.4433035786878523e-15
7,5,896,0.00014169543368061703,0.9998583045663149,1.2556588597048735e-15
7,5,928,9.854068494599053e-05,0.9999014593150466,9.286843895825363e-16
7,5,960,7.081702093900872e-05,0.9999291829790552,8.415391817167869e-16
7,5,992,5.343822931550392e-05,0.9999465617706801,7.148770238941155e-16
7,5,1024,3.790008573902981e-05,0.9999620999142558,5.243721720512416e-16
